기준_년분기_코드,행정동_코드,행정동_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
20232,11230710,회기동,84,3,5,1,,10,1,3,1,1,14,,,,,,,,,10
20233,11230710,회기동,84,3,5,1,,10,1,3,1,1,14,,,,,,,,,10
20231,11230720,휘경1동,82,2,1,,,12,,,,,,,,,1,,,,3,18
20232,11230720,휘경1동,82,2,1,,,12,,,,,,,,,1,,,,3,18
20233,11230720,휘경1동,82,2,1,,,12,,,,,,,,,1,,,,3,18
20231,11230730,휘경2동,84,5,1,1,,5,1,2,3,3,4,,,,,,,,,27
20232,11230730,휘경2동,84,5,1,1,,5,1,2,3,3,4,,,,,,,,,27
20233,11230730,휘경2동,84,5,1,1,,5,1,2,3,3,4,,,,,,,,,27
20231,11230740,이문1동,147,5,2,,,13,3,,,2,30,,,,,,,,1,26
20232,11230740,이문1동,147,5,2,,,13,3,,,2,30,,,,,,,,1,26
20233,11230740,이문1동,147,5,2,,,13,3,,,2,30,,,,,,,,1,26
20231,11230750,이문2동,71,2,,,,6,1,1,,,2,,,,,,,,1,17
20232,11230750,이문2동,71,2,,,,6,1,1,,,2,,,,,,,,1,17
20233,11230750,이문2동,71,2,,,,6,1,1,,,2,,,,,,,,1,17
20231,11260520,면목2동,112,3,,,1,11,2,2,,,,,8,,1,,,,,25
20232,11260520,면목2동,112,3,,,1,11,2,2,,,,,8,,1,,,,,25
20233,11260520,면목2동,112,3,,,1,11,2,2,,,,,8,,1,,,,,25
20231,11260540,면목4동,61,2,,,,5,1,1,1,,,,,,,,,,1,15
20233,11260540,면목4동,61,2,,,,5,1,1,1,,,,,,,,,,1,15
20232,11260550,면목5동,42,2,1,,,3,,,,,,,4,,,,,,,13
20233,11260550,면목5동,42,2,1,,,3,,,,,,,4,,,,,,,13
20231,11260565,면목본동,168,4,2,,,18,1,2,,,,,13,,1,,,,1,30
20232,11260565,면목본동,168,4,2,,,18,1,2,,,,,13,,1,,,,1,30
20233,11260565,면목본동,168,4,2,,,18,1,2,,,,,13,,1,,,,1,30
20231,11260570,면목7동,108,2,2,,1,11,,1,,,,,1,,,,,,,18
20232,11260570,면목7동,108,2,2,,1,11,,1,,,,,1,,,,,,,18
20233,11260570,면목7동,108,2,2,,1,11,,1,,,,,1,,,,,,,18
20231,11260575,면목3?8동,150,4,1,1,,17,1,2,2,1,8,,,,1,,,,1,34
20232,11260575,면목3?8동,150,4,1,1,,17,1,2,2,1,8,,,,1,,,,1,34
20233,11260575,면목3?8동,150,4,1,1,,17,1,2,2,1,8,,,,1,,,,1,34
20231,11260580,상봉1동,78,3,1,,1,8,2,1,2,1,,,,,,,,,4,12
20232,11260580,상봉1동,78,3,1,,1,8,2,1,2,1,,,,,,,,,4,12
20233,11260580,상봉1동,78,3,1,,1,8,2,1,2,1,,,,,,,,,4,12
20231,11260590,상봉2동,127,4,3,,1,10,,,,,,,,2,2,,,1,1,18
20232,11260590,상봉2동,127,4,3,,1,10,,,,,,,,2,2,,,1,1,18
20233,11260590,상봉2동,127,4,3,,1,10,,,,,,,,2,2,,,1,1,18
20231,11260600,중화1동,79,2,1,,1,7,1,2,2,1,,,,,,,,,,14
20232,11260600,중화1동,79,2,1,,1,7,1,2,2,1,,,,,,,,,,14
20233,11260600,중화1동,79,2,1,,1,7,1,2,2,1,,,,,,,,,,14
20231,11260610,중화2동,123,2,3,,,14,,,,,,,2,,,,,,3,32
20232,11260610,중화2동,123,2,3,,,14,,,,,,,2,,,,,,3,32
20233,11260610,중화2동,123,2,3,,,14,,,,,,,2,,,,,,3,32
20231,11260620,묵1동,144,4,2,,2,11,2,1,2,2,,,,,,,,,,34
20232,11260620,묵1동,144,4,2,,2,11,2,1,2,2,,,,,,,,,,34
20233,11260620,묵1동,144,4,2,,2,11,2,1,2,2,,,,,,,,,,34
20231,11260630,묵2동,92,3,4,,,7,,2,,,,,,1,,,,,1,19
20232,11260630,묵2동,92,3,4,,,7,,2,,,,,,1,,,,,1,19
20233,11260630,묵2동,92,3,4,,,7,,2,,,,,,1,,,,,1,19
20231,11260655,망우본동,238,9,4,1,4,25,1,2,3,4,,,9,,2,,,,2,54
20232,11260655,망우본동,238,9,4,1,4,25,1,2,3,4,,,9,,2,,,,2,54
20233,11260655,망우본동,238,9,4,1,4,25,1,2,3,4,,,9,,2,,,,2,54
20231,11260660,망우3동,54,1,1,,1,3,,2,,1,,,3,,,,,,,11
20232,11260660,망우3동,54,1,1,,1,3,,2,,1,,,3,,,,,,,11
20233,11260660,망우3동,54,1,1,,1,3,,2,,1,,,3,,,,,,,11
20231,11260680,신내1동,160,3,2,1,,13,2,2,,,,,,,,,,,1,53
20233,11260680,신내1동,160,3,2,1,,13,2,2,,,,,,,,,,,1,53
20231,11260690,신내2동,104,6,3,,,12,3,4,,,,,,,,,,,,21
20232,11260690,신내2동,104,6,3,,,12,3,4,,,,,,,,,,,,21
20233,11260690,신내2동,104,6,3,,,12,3,4,,,,,,,,,,,,21
20231,11290525,성북동,166,6,4,,,6,2,1,3,2,5,,,,,,,,,55
20232,11290525,성북동,166,6,4,,,6,2,1,3,2,5,,,,,,,,,55
20233,11290525,성북동,166,6,4,,,6,2,1,3,2,5,,,,,,,,,55
20231,11290555,삼선동,163,7,5,,,14,,1,1,2,14,,,,,,,,2,46
20232,11290555,삼선동,163,7,5,,,14,,1,1,2,14,,,,,,,,2,46
20233,11290555,삼선동,163,7,5,,,14,,1,1,2,14,,,,,,,,2,46
20231,11320681,쌍문4동,64,1,,,,4,5,2,2,3,,,,,,,,,,23
20233,11320681,쌍문4동,64,1,,,,4,5,2,2,3,,,,,,,,,,23
20231,11320690,방학1동,148,6,6,,2,15,2,1,1,1,,,,,,,,,1,39
20232,11320690,방학1동,148,6,6,,2,15,2,1,1,1,,,,,,,,,1,39
20233,11320690,방학1동,148,6,6,,2,15,2,1,1,1,,,,,,,,,1,39
20231,11320700,방학2동,64,3,,,,7,,1,1,,,,,,,,,,,23
20232,11320700,방학2동,64,3,,,,7,,1,1,,,,,,,,,,,23
20233,11320700,방학2동,64,3,,,,7,,1,1,,,,,,,,,,,23
20231,11320710,방학3동,112,3,3,,,6,3,3,1,,,,,,,,,,,47
20232,11320710,방학3동,112,3,3,,,6,3,3,1,,,,,,,,,,,47
20233,11320710,방학3동,112,3,3,,,6,3,3,1,,,,,,,,,,,47
20231,11350560,월계1동,159,4,2,,,10,2,1,1,1,17,,,,,,,,,59
20232,11350560,월계1동,159,4,2,,,10,2,1,1,1,17,,,,,,,,,59
20233,11350560,월계1동,159,4,2,,,10,2,1,1,1,17,,,,,,,,,59
20231,11350570,월계2동,136,4,,,,5,3,2,3,4,11,,,,,,,,1,64
20232,11350570,월계2동,136,4,,,,5,3,2,3,4,11,,,,,,,,1,64
20233,11350570,월계2동,136,4,,,,5,3,2,3,4,11,,,,,,,,1,64
20231,11350580,월계3동,135,5,3,,,8,4,3,1,,,,,,,,,,2,47
20232,11350580,월계3동,135,5,3,,,8,4,3,1,,,,,,,,,,2,47
20233,11350580,월계3동,135,5,3,,,8,4,3,1,,,,,,,,,,2,47
20231,11350595,공릉1동,211,4,6,,4,21,3,3,,,1,,1,,,,,,3,54
20232,11350595,공릉1동,211,4,6,,4,21,3,3,,,1,,1,,,,,,3,54
20233,11350595,공릉1동,211,4,6,,4,21,3,3,,,1,,1,,,,,,3,54
20231,11350600,공릉2동,271,7,6,1,,14,3,4,4,2,64,,1,,,,,,1,63
20232,11350600,공릉2동,271,7,6,1,,14,3,4,4,2,64,,1,,,,,,1,63
20233,11350600,공릉2동,271,7,6,1,,14,3,4,4,2,64,,1,,,,,,1,63
20231,11350611,하계1동,133,4,3,1,,9,1,1,2,4,16,,,,,,,,,41
20232,11350611,하계1동,133,4,3,1,,9,1,1,2,4,16,,,,,,,,,41
20233,11350611,하계1동,133,4,3,1,,9,1,1,2,4,16,,,,,,,,,41
20231,11350612,하계2동,67,2,1,,,4,2,2,1,,,,,,,,,,1,28
20232,11350612,하계2동,67,2,1,,,4,2,2,1,,,,,,,,,,1,28
20233,11350612,하계2동,67,2,1,,,4,2,2,1,,,,,,,,,,1,28
20231,11350619,중계본동,95,5,2,,,7,3,2,,3,,,,,,,,,,21
20232,11350619,중계본동,95,5,2,,,7,3,2,,3,,,,,,,,,,21
20233,11350619,중계본동,95,5,2,,,7,3,2,,3,,,,,,,,,,21
20231,11350621,중계1동,85,2,3,,,7,,2,1,2,,,,,,,,,,18
20232,11350621,중계1동,85,2,3,,,7,,2,1,2,,,,,,,,,,18
20233,11350621,중계1동,85,2,3,,,7,,2,1,2,,,,,,,,,,18
20231,11350624,중계4동,81,2,3,,,14,1,1,3,2,,,,,,,,,,6
20232,11350624,중계4동,81,2,3,,,14,1,1,3,2,,,,,,,,,,6
20233,11350624,중계4동,81,2,3,,,14,1,1,3,2,,,,,,,,,,6
20231,11350665,상계3?4동,107,4,1,,,9,3,2,,,1,,,,2,,,,1,11
20232,11350665,상계3?4동,107,4,1,,,9,3,2,,,1,,,,2,,,,1,11
20233,11350665,상계3?4동,107,4,1,,,9,3,2,,,1,,,,2,,,,1,11
20231,11350670,상계5동,105,2,1,,,11,,1,,,,,,,3,,,,1,36
20232,11350670,상계5동,105,2,1,,,11,,1,,,,,,,3,,,,1,36
20233,11350670,상계5동,105,2,1,,,11,,1,,,,,,,3,,,,1,36
20231,11350695,상계6?7동,253,9,11,1,1,29,,3,2,1,4,,,1,,,,,,40
20232,11350695,상계6?7동,253,9,11,1,1,29,,3,2,1,4,,,1,,,,,,40
20233,11350695,상계6?7동,253,9,11,1,1,29,,3,2,1,4,,,1,,,,,,40
20231,11350700,상계8동,92,3,3,,,7,,,1,,,,,,,,,,1,15
20232,11350700,상계8동,92,3,3,,,7,,,1,,,,,,,,,,1,15
20233,11350700,상계8동,92,3,3,,,7,,,1,,,,,,,,,,1,15
20231,11350710,상계9동,78,3,4,,,6,1,3,2,2,,,,,,,,,,18
20232,11350710,상계9동,78,3,4,,,6,1,3,2,2,,,,,,,,,,18
20233,11350710,상계9동,78,3,4,,,6,1,3,2,2,,,,,,,,,,18
20231,11350720,상계10동,64,3,,,,1,1,2,1,1,,,,,,,,,,30
20232,11350720,상계10동,64,3,,,,1,1,2,1,1,,,,,,,,,,30
20233,11350720,상계10동,64,3,,,,1,1,2,1,1,,,,,,,,,,30
20231,11380510,녹번동,148,8,3,,2,12,1,3,,,,,1,1,,,,,2,35
20232,11380510,녹번동,148,8,3,,2,12,1,3,,,,,1,1,,,,,2,35
20233,11380510,녹번동,148,8,3,,2,12,1,3,,,,,1,1,,,,,2,35
20231,11380520,불광1동,198,6,4,,1,17,4,2,,,,,,1,,,,,3,49
20232,11380520,불광1동,198,6,4,,1,17,4,2,,,,,,1,,,,,3,49
20233,11380520,불광1동,198,6,4,,1,17,4,2,,,,,,1,,,,,3,49
20231,11380530,불광2동,113,6,1,,,5,,3,3,1,,,3,,,,,,,32
20232,11380530,불광2동,113,6,1,,,5,,3,3,1,,,3,,,,,,,32
20233,11380530,불광2동,113,6,1,,,5,,3,3,1,,,3,,,,,,,32
20231,11380551,갈현1동,133,2,2,1,,13,1,,,,,,,,,,,,2,48
20232,11380551,갈현1동,133,2,2,1,,13,1,,,,,,,,,,,,2,48
20233,11380551,갈현1동,133,2,2,1,,13,1,,,,,,,,,,,,2,48
20231,11380552,갈현2동,121,3,1,,1,15,5,2,1,5,,,,,,,,,1,34
20232,11380552,갈현2동,121,3,1,,1,15,5,2,1,5,,,,,,,,,1,34
20233,11380552,갈현2동,121,3,1,,1,15,5,2,1,5,,,,,,,,,1,34
20231,11380560,구산동,127,3,,,1,8,3,3,2,3,,,,,,,,,,38
20232,11380560,구산동,127,3,,,1,8,3,3,2,3,,,,,,,,,,38
20233,11380560,구산동,127,3,,,1,8,3,3,2,3,,,,,,,,,,38
20231,11380570,대조동,205,3,5,,1,24,,2,,2,,,,1,,,,,,32
20232,11380570,대조동,205,3,5,,1,24,,2,,2,,,,1,,,,,,32
20233,11380570,대조동,205,3,5,,1,24,,2,,2,,,,1,,,,,,32
20231,11380580,응암1동,133,5,5,,1,20,1,1,1,1,,,,,,,,,,27
20233,11380580,응암1동,133,5,5,,1,20,1,1,1,1,,,,,,,,,,27
20231,11380590,응암2동,91,3,1,,1,10,2,1,,,,,,,,,,,,37
20233,11380590,응암2동,91,3,1,,1,10,2,1,,,,,,,,,,,,37
20231,11380600,응암3동,138,3,3,,1,16,1,1,2,1,,,2,,,,,,,31
20232,11380600,응암3동,138,3,3,,1,16,1,1,2,1,,,2,,,,,,,31
20233,11380600,응암3동,138,3,3,,1,16,1,1,2,1,,,2,,,,,,,31
20231,11380625,역촌동,176,5,5,,2,18,2,1,,,,,,,,,,,,51
20232,11380625,역촌동,176,5,5,,2,18,2,1,,,,,,,,,,,,51
20233,11380625,역촌동,176,5,5,,2,18,2,1,,,,,,,,,,,,51
20231,11380631,신사1동,94,3,,,,8,3,,1,,5,,,,,,,,1,22
20232,11380631,신사1동,94,3,,,,8,3,,1,,5,,,,,,,,1,22
20233,11380631,신사1동,94,3,,,,8,3,,1,,5,,,,,,,,1,22
20231,11380632,신사2동,82,4,,,,5,,3,1,1,,,,,,,,,1,35
20232,11380632,신사2동,82,4,,,,5,,3,1,1,,,,,,,,,1,35
20233,11380632,신사2동,82,4,,,,5,,3,1,1,,,,,,,,,1,35
20231,11380640,증산동,83,3,,,,8,1,1,2,,,,2,,,,,,1,16
20232,11380640,증산동,83,3,,,,8,1,1,2,,,,2,,,,,,1,16
20233,11380640,증산동,83,3,,,,8,1,1,2,,,,2,,,,,,1,16
20231,11380650,수색동,60,5,2,,,5,1,1,,,,,2,,,,,,1,22
20232,11380650,수색동,60,5,2,,,5,1,1,,,,,2,,,,,,1,22
20233,11380650,수색동,60,5,2,,,5,1,1,,,,,2,,,,,,1,22
20231,11380690,진관동,242,6,6,,,22,6,6,2,4,,,,1,,,,,1,81
20233,11380690,진관동,242,6,6,,,22,6,6,2,4,,,,1,,,,,1,81
20231,11410520,천연동,127,4,1,,,4,,1,1,1,11,,,,1,,,,,44
20232,11410520,천연동,127,4,1,,,4,,1,1,1,11,,,,1,,,,,44
20233,11410520,천연동,127,4,1,,,4,,1,1,1,11,,,,1,,,,,44
20231,11410555,북아현동,76,2,2,,1,7,1,1,,1,,,,,,,,,,17
20232,11410555,북아현동,76,2,2,,1,7,1,1,,1,,,,,,,,,,17
20233,11410555,북아현동,76,2,2,,1,7,1,1,,1,,,,,,,,,,17
20231,11410565,충현동,184,9,8,,,7,1,3,1,2,24,,,,,,,,3,58
20232,11410565,충현동,184,9,8,,,7,1,3,1,2,24,,,,,,,,3,58
20233,11410565,충현동,184,9,8,,,7,1,3,1,2,24,,,,,,,,3,58
20231,11410585,신촌동,368,6,10,1,,22,1,3,1,1,109,1,,4,3,,,,2,60
20232,11410585,신촌동,368,6,10,1,,22,1,3,1,1,109,1,,4,3,,,,2,60
20233,11410585,신촌동,368,6,10,1,,22,1,3,1,1,109,1,,4,3,,,,2,60
20231,11410615,연희동,201,7,7,,1,16,,1,3,1,13,,,1,1,,,,,70
20232,11410615,연희동,201,7,7,,1,16,,1,3,1,13,,,1,1,,,,,70
20233,11410615,연희동,201,7,7,,1,16,,1,3,1,13,,,1,1,,,,,70
20231,11410620,홍제1동,135,3,2,,,10,2,2,,,1,,,,1,,,,1,40
20233,11410620,홍제1동,135,3,2,,,10,2,2,,,1,,,,1,,,,1,40
20231,11410640,홍제3동,129,3,3,,2,14,1,2,1,,3,,4,,6,,,,1,46
20232,11410640,홍제3동,129,3,3,,2,14,1,2,1,,3,,4,,6,,,,1,46
20233,11410640,홍제3동,129,3,3,,2,14,1,2,1,,3,,4,,6,,,,1,46
20231,11410655,홍제2동,56,1,,,,6,3,,,,,,,,1,,,,,15
20233,11410655,홍제2동,56,1,,,,6,3,,,,,,,,1,,,,,15
20231,11410660,홍은1동,86,3,,,,7,1,1,,,,,,,1,,,,,32
20232,11410660,홍은1동,86,3,,,,7,1,1,,,,,,,1,,,,,32
20233,11410660,홍은1동,86,3,,,,7,1,1,,,,,,,1,,,,,32
20231,11410685,홍은2동,161,4,2,1,,8,,2,3,1,12,,,,,,,,,83
20232,11410685,홍은2동,161,4,2,1,,8,,2,3,1,12,,,,,,,,,83
20233,11410685,홍은2동,161,4,2,1,,8,,2,3,1,12,,,,,,,,,83
20231,11410690,남가좌1동,94,2,3,,1,9,,1,,,,,1,,1,,,,1,20
20233,11410690,남가좌1동,94,2,3,,1,9,,1,,,,,1,,1,,,,1,20
20231,11410700,남가좌2동,117,4,4,,,12,4,1,1,,8,,,,,,,,,24
20233,11410700,남가좌2동,117,4,4,,,12,4,1,1,,8,,,,,,,,,24
20231,11410710,북가좌1동,60,1,2,,,5,2,1,1,1,,,,,,,,,,13
20232,11410710,북가좌1동,60,1,2,,,5,2,1,1,1,,,,,,,,,,13
20233,11410710,북가좌1동,60,1,2,,,5,2,1,1,1,,,,,,,,,,13
20231,11410720,북가좌2동,115,3,3,,,12,2,,,,,,,,,,,,,39
20232,11410720,북가좌2동,115,3,3,,,12,2,,,,,,,,,,,,,39
20233,11410720,북가좌2동,115,3,3,,,12,2,,,,,,,,,,,,,39
20231,11440555,아현동,145,5,8,,,16,1,1,1,1,,,,,1,,,,2,23
20232,11440555,아현동,145,5,8,,,16,1,1,1,1,,,,,1,,,,2,23
20233,11440555,아현동,145,5,8,,,16,1,1,1,1,,,,,1,,,,2,23
20231,11440565,공덕동,172,7,9,,,21,1,3,,,,,2,,,,,,4,39
20232,11440565,공덕동,172,7,9,,,21,1,3,,,,,2,,,,,,4,39
20233,11440565,공덕동,172,7,9,,,21,1,3,,,,,2,,,,,,4,39
20231,11440585,도화동,144,4,7,,,15,2,1,,,,,,1,1,,,,1,38
20231,11350625,중계2?3동,142,7,2,,,10,4,4,1,3,,,,2,,,,,1,39
20233,11440585,도화동,144,4,7,,,15,2,1,,,,,,1,1,,,,1,38
20232,11350625,중계2?3동,142,7,2,,,10,4,4,1,3,,,,2,,,,,1,39
20233,11350625,중계2?3동,142,7,2,,,10,4,4,1,3,,,,2,,,,,1,39
20231,11350630,상계1동,190,5,2,,,14,3,3,2,1,,,,1,,,,,1,38
20232,11350630,상계1동,190,5,2,,,14,3,3,2,1,,,,1,,,,,1,38
20233,11350630,상계1동,190,5,2,,,14,3,3,2,1,,,,1,,,,,1,38
20231,11350640,상계2동,182,2,1,,2,19,1,1,1,,,,,1,,,,,2,33
20232,11350640,상계2동,182,2,1,,2,19,1,1,1,,,,,1,,,,,2,33
20233,11350640,상계2동,182,2,1,,2,19,1,1,1,,,,,1,,,,,2,33
20231,11440700,망원2동,83,4,1,,,6,1,2,,,,,,,,,,,,33
20232,11440700,망원2동,83,4,1,,,6,1,2,,,,,,,,,,,,33
20233,11440700,망원2동,83,4,1,,,6,1,2,,,,,,,,,,,,33
20231,11440710,연남동,52,2,1,,,2,1,,1,2,,,,,,,,,,23
20232,11440710,연남동,52,2,1,,,2,1,,1,2,,,,,,,,,,23
20233,11440710,연남동,52,2,1,,,2,1,,1,2,,,,,,,,,,23
20231,11440720,성산1동,86,4,2,,,5,1,2,2,1,1,,,,1,,,,,29
20232,11440720,성산1동,86,4,2,,,5,1,2,2,1,1,,,,1,,,,,29
20233,11440720,성산1동,86,4,2,,,5,1,2,2,1,1,,,,1,,,,,29
20231,11440730,성산2동,158,6,3,,,13,2,3,2,,,,1,1,,,,,2,47
20232,11440730,성산2동,158,6,3,,,13,2,3,2,,,,1,1,,,,,2,47
20233,11440730,성산2동,158,6,3,,,13,2,3,2,,,,1,1,,,,,2,47
20231,11440740,상암동,247,10,11,,,14,3,3,1,1,,,1,,,,,,4,104
20232,11440740,상암동,247,10,11,,,14,3,3,1,1,,,1,,,,,,4,104
20233,11440740,상암동,247,10,11,,,14,3,3,1,1,,,1,,,,,,4,104
20231,11470510,목1동,190,5,12,,1,21,1,1,1,1,2,,,2,,,,,2,29
20232,11470510,목1동,190,5,12,,1,21,1,1,1,1,2,,,2,,,,,2,29
20233,11470510,목1동,190,5,12,,1,21,1,1,1,1,2,,,2,,,,,2,29
20231,11470520,목2동,97,3,2,,1,13,3,1,,,,,,,1,,,,1,18
20233,11470520,목2동,97,3,2,,1,13,3,1,,,,,,,1,,,,1,18
20231,11470530,목3동,96,3,4,,,11,1,,1,,,,,,,,,,,7
20232,11470530,목3동,96,3,4,,,11,1,,1,,,,,,,,,,,7
20233,11470530,목3동,96,3,4,,,11,1,,1,,,,,,,,,,,7
20231,11320512,창2동,95,3,,,1,8,1,1,,,,,,,,,,,,44
20232,11320512,창2동,95,3,,,1,8,1,1,,,,,,,,,,,,44
20233,11320512,창2동,95,3,,,1,8,1,1,,,,,,,,,,,,44
20231,11320513,창3동,66,1,,,,7,1,2,,,,,1,,,,,,,25
20232,11320513,창3동,66,1,,,,7,1,2,,,,,1,,,,,,,25
20233,11320513,창3동,66,1,,,,7,1,2,,,,,1,,,,,,,25
20231,11320514,창4동,130,7,4,,,8,1,2,1,2,,,,,,,,,,51
20232,11320514,창4동,130,7,4,,,8,1,2,1,2,,,,,,,,,,51
20233,11320514,창4동,130,7,4,,,8,1,2,1,2,,,,,,,,,,51
20231,11320515,창5동,119,7,3,,3,12,1,3,,,,,,2,,,,,2,24
20232,11320515,창5동,119,7,3,,3,12,1,3,,,,,,2,,,,,2,24
20233,11320515,창5동,119,7,3,,3,12,1,3,,,,,,2,,,,,2,24
20231,11320521,도봉1동,122,4,1,,,9,2,2,1,1,2,,1,,,,,,,38
20232,11320521,도봉1동,122,4,1,,,9,2,2,1,1,2,,1,,,,,,,38
20233,11320521,도봉1동,122,4,1,,,9,2,2,1,1,2,,1,,,,,,,38
20231,11320522,도봉2동,127,8,3,,,7,1,1,1,1,1,,,,1,,,,3,49
20232,11320522,도봉2동,127,8,3,,,7,1,1,1,1,1,,,,1,,,,3,49
20233,11320522,도봉2동,127,8,3,,,7,1,1,1,1,1,,,,1,,,,3,49
20231,11320660,쌍문1동,126,6,1,,1,4,1,3,,1,17,,,,,,,,,54
20233,11320660,쌍문1동,126,6,1,,1,4,1,3,,1,17,,,,,,,,,54
20231,11320670,쌍문2동,87,3,1,,1,10,1,1,1,,,,,,2,,,,,19
20233,11320670,쌍문2동,87,3,1,,1,10,1,1,1,,,,,,2,,,,,19
20231,11320680,쌍문3동,78,3,3,1,,12,,,1,,,,,,1,,,,1,17
20232,11320680,쌍문3동,78,3,3,1,,12,,,1,,,,,,1,,,,1,17
20233,11320680,쌍문3동,78,3,3,1,,12,,,1,,,,,,1,,,,1,17
20231,11500550,화곡2동,65,2,,,,3,2,1,,,,,,,,,,,,30
20232,11500550,화곡2동,65,2,,,,3,2,1,,,,,,,,,,,,30
20233,11500550,화곡2동,65,2,,,,3,2,1,,,,,,,,,,,,30
20231,11500604,가양2동,75,4,3,,,7,3,1,1,1,,,,,,,,,1,14
20233,11500604,가양2동,75,4,3,,,7,3,1,1,1,,,,,,,,,1,14
20231,11470540,목4동,84,3,3,,,9,1,1,1,1,,,,,,,,,,14
20232,11470540,목4동,84,3,3,,,9,1,1,1,1,,,,,,,,,,14
20233,11470540,목4동,84,3,3,,,9,1,1,1,1,,,,,,,,,,14
20231,11470550,목5동,143,8,9,1,,12,4,3,2,2,,,,,,,,,,52
20232,11470550,목5동,143,8,9,1,,12,4,3,2,2,,,,,,,,,,52
20233,11470550,목5동,143,8,9,1,,12,4,3,2,2,,,,,,,,,,52
20231,11470560,신월1동,71,3,3,,,12,1,,,,,,,,,,,,,9
20232,11470560,신월1동,71,3,3,,,12,1,,,,,,,,,,,,,9
20233,11470560,신월1동,71,3,3,,,12,1,,,,,,,,,,,,,9
20231,11470570,신월2동,65,3,1,,,6,1,2,2,,,,,,,,,,,12
20232,11470570,신월2동,65,3,1,,,6,1,2,2,,,,,,,,,,,12
20233,11470570,신월2동,65,3,1,,,6,1,2,2,,,,,,,,,,,12
20231,11470580,신월3동,70,2,1,,,7,1,1,2,3,,,,,,,,,,8
20232,11470580,신월3동,70,2,1,,,7,1,1,2,3,,,,,,,,,,8
20233,11470580,신월3동,70,2,1,,,7,1,1,2,3,,,,,,,,,,8
20231,11470590,신월4동,63,2,1,,,6,3,1,,,,,,,,,,,,11
20232,11470590,신월4동,63,2,1,,,6,3,1,,,,,,,,,,,,11
20233,11470590,신월4동,63,2,1,,,6,3,1,,,,,,,,,,,,11
20231,11470600,신월5동,54,3,,,1,3,2,1,2,,,,,,,,,,,12
20232,11470600,신월5동,54,3,,,1,3,2,1,2,,,,,,,,,,,12
20233,11470600,신월5동,54,3,,,1,3,2,1,2,,,,,,,,,,,12
20231,11470610,신월6동,47,1,2,,1,5,1,1,1,,,,,,,,,,,15
20232,11470610,신월6동,47,1,2,,1,5,1,1,1,,,,,,,,,,,15
20233,11470610,신월6동,47,1,2,,1,5,1,1,1,,,,,,,,,,,15
20231,11470611,신월7동,74,6,1,,,10,2,,1,,,,,,,,,,,21
20232,11470611,신월7동,74,6,1,,,10,2,,1,,,,,,,,,,,21
20233,11470611,신월7동,74,6,1,,,10,2,,1,,,,,,,,,,,21
20231,11470620,신정1동,94,7,3,,,9,2,2,1,,,,,,,,,,,26
20232,11470620,신정1동,94,7,3,,,9,2,2,1,,,,,,,,,,,26
20233,11470620,신정1동,94,7,3,,,9,2,2,1,,,,,,,,,,,26
20231,11470630,신정2동,71,3,1,,,7,1,2,1,,,,,,,,,,,20
20232,11470630,신정2동,71,3,1,,,7,1,2,1,,,,,,,,,,,20
20233,11470630,신정2동,71,3,1,,,7,1,2,1,,,,,,,,,,,20
20231,11470640,신정3동,203,4,1,,,15,1,3,1,4,,,,,,,,,1,81
20232,11470640,신정3동,203,4,1,,,15,1,3,1,4,,,,,,,,,1,81
20233,11470640,신정3동,203,4,1,,,15,1,3,1,4,,,,,,,,,1,81
20231,11500560,화곡3동,87,4,3,,,8,2,,,,,,,,,,,,,12
20232,11500560,화곡3동,87,4,3,,,8,2,,,,,,,,,,,,,12
20233,11500560,화곡3동,87,4,3,,,8,2,,,,,,,,,,,,,12
20231,11500570,화곡4동,101,4,2,,,14,3,1,,2,,,,,,,,,,30
20232,11500570,화곡4동,101,4,2,,,14,3,1,,2,,,,,,,,,,30
20233,11500570,화곡4동,101,4,2,,,14,3,1,,2,,,,,,,,,,30
20231,11500590,화곡본동,145,3,,,1,11,1,2,,,,,,,,,,,,31
20232,11500590,화곡본동,145,3,,,1,11,1,2,,,,,,,,,,,,31
20233,11500590,화곡본동,145,3,,,1,11,1,2,,,,,,,,,,,,31
20231,11500591,화곡6동,118,7,5,,,8,2,1,,,9,,,,,,,,,29
20232,11500591,화곡6동,118,7,5,,,8,2,1,,,9,,,,,,,,,29
20233,11500591,화곡6동,118,7,5,,,8,2,1,,,9,,,,,,,,,29
20231,11500593,화곡8동,95,2,3,,,8,1,,,,,,,,,,,,1,33
20232,11500593,화곡8동,95,2,3,,,8,1,,,,,,,,,,,,1,33
20233,11500593,화곡8동,95,2,3,,,8,1,,,,,,,,,,,,1,33
20231,11500603,가양1동,279,5,13,,,20,3,1,1,1,,,,1,2,,,,5,69
20232,11500603,가양1동,279,5,13,,,20,3,1,1,1,,,,1,2,,,,5,69
20233,11500603,가양1동,279,5,13,,,20,3,1,1,1,,,,1,2,,,,5,69
20231,11440590,용강동,90,7,6,,1,10,2,1,,,,,,,,,,,1,24
20232,11440590,용강동,90,7,6,,1,10,2,1,,,,,,,,,,,1,24
